Entity Name,Entity ID,Security Name,Security ID,Does the company meet your screening criteria?,ESG Risk Score
ABN AMRO Group NV,1116897395,,1116897395,Yes,19.80
"Aboitiz Equity Ventures, Inc.",1008759703,,1008759703,Yes,45.59
Aboitiz Power Corp.,1038733138,,1038733138,Yes,28.73
Abou Kir Fertilizers,2000815070,,2000815070,N/A,No data
ABOUT YOU Holding SE,2008784579,,2008784579,Yes,16.21
ABP Finance BV,2008927662,,2008927662,Yes,35.54
ABP Finance Plc,2006104661,,2006104661,Yes,10.74
ABQ Finance Ltd.,1336472509,,1336472509,Yes,35.14
Abra Global Finance,2013695499,,2013695499,N/A,No data
abrdn European Logistics Income Plc,2005552935,,2005552935,Yes,32.07
abrdn Plc,1013341901,,1013341901,Yes,17.18
abrdn Property Income Trust Ltd.,1017776792,,1017776792,Yes,15.37
Absa Group Ltd.,1008756207,,1008756207,Yes,27.94
Absci Corp.,2004810693,,2004810693,Yes,19.53
Absolute Clean Energy PCL,2006667846,,2006667846,Yes,19.65
Absolute Software Corp.,1014728399,,1014728399,Yes,24.05
Abu Dhabi Aviation Co.,2000863846,,2000863846,N/A,No data
Abu Dhabi Commercial Bank,1017162097,,1017162097,Yes,20.74
Abu Dhabi Crude Oil Pipeline LLC,2005493832,,2005493832,Yes,37.82
Abu Dhabi Future Energy PJSC,2001079014,,2001079014,N/A,No data
Abu Dhabi Islamic Bank,1017142221,,1017142221,Yes,29.64
Abu Dhabi National Energy Co. PJSC,1031318814,,1031318814,Yes,18.09
Abu Dhabi National Hotels,1016965298,,1016965298,Yes,31.59
Abu Dhabi National Insurance Co. PSC,2000981230,,2000981230,Yes,33.91
Abu Dhabi National Oil Co. for Distribution PJSC,1017586189,,1017586189,Yes,25.36
Abu Dhabi Ports Co. PJSC,2002720442,,2002720442,Yes,18.54
AC Energy Finance International Ltd.,2006738727,,2006738727,Yes,20.53
"AC Energy, Inc.",2001011498,,2001011498,Yes,20.53
Acacia Research Corp.,1011936712,,1011936712,N/A,No data
AcadeMedia AB,1044705861,,1044705861,Yes,15.69
"Academy Sports & Outdoors, Inc.",2008158654,,2008158654,Yes,15.69
